Model Architecture,Hardware Platform,Compute Unit,Throughput Speed (FPS)
YOLOv8 Nano (Custom),Local Laptop,CPU,9.7
RT-DETR Large (Vanilla),Google Colab,T4 Cloud GPU,9.1
